CourseNum,CRN,Section,SectionType,Professors,DepartmentCode,Department,Year,Semester
405,39855,UG ,Lecture-Discussion,"Dolcos, F",NEUR,Neuroscience,2024,Spring 2024
199,34503,ARS,Lecture-Discussion,"Montagner Martinez, A",ENG,Engineering,2024,Spring 2024
301,71732,Q  ,Lecture-Discussion,"Girndt-Clougherty, T",BUS,Business,2024,Spring 2024
216,70296,C  ,Lecture-Discussion,"Majewski, H",MDVL,Medieval Studies,2024,Spring 2024
125,54894,JS ,Lecture,"Pulley, T",AHS,Applied Health Sciences Courses,2024,Spring 2024
150,63411,A  ,Packaged Section;Packaged Section,"Nettl-Fiol, R",DANC,Dance,2024,Spring 2024
100,34291,ADK,Discussion/Recitation,"Dill, B;Rodriguez-Reyes, M",SOC,Sociology,2024,Spring 2024
105,32918,B4 ,Lecture-Discussion,"Mridha, A",RHET,Rhetoric and Composition,2024,Spring 2024
407,31906,C4 ,Online,"Dornfeld Tissenbaum, C",CI,Curriculum and Instruction,2024,Spring 2024
150,71636,B  ,Lecture-Discussion,"Martins Freitas, C",PORT,Portuguese,2024,Spring 2024
120,34084,AD3,Discussion/Recitation,"Jiang, Y;Wilson, R",HIST,History,2024,Spring 2024
297,62166,A  ,Lecture-Discussion,"Balgopal, A",AAS,Asian American Studies,2024,Spring 2024
499,61049,A  ,Conference,,LAW,Law,2024,Spring 2024
328,54735,T9 ,Laboratory,"Taher, M",ARTD,Art--Design,2024,Spring 2024
